Time,Stress_Val,Daylight,total_keystrokes,backspace_count,hold_time_mean,hold_time_std,flight_time_mean,flight_time_std,total_inact_duration,backspace_ratio,Daylight_Encoded,Stress_Label
2021-09-10 12:03:49.599000,Neutral,Afternoon,0.0,0.0,0.0,0.0,0.0,0.0,440.889638,0.0,1,0
2021-09-10 12:05:18.375000,Neutral,Afternoon,0.0,0.0,0.0,0.0,0.0,0.0,39.380722000000006,0.0,1,0
2021-09-10 12:56:42.248000,S_Stressed,Afternoon,1286.0,113.0,150.02859875583204,163.97054764165023,514.3998311284047,1010.3404550764451,3908.624212,0.0878693616806426,1,1
2021-09-10 13:27:00.551000,Neutral,Afternoon,289.0,6.0,172.81696885813147,225.5713266045453,560.7828615916956,1178.9718144872522,2773.718563,0.020761244956358307,1,0
2021-09-10 13:57:10.867000,V_Stressed,Afternoon,398.0,25.0,196.47136180904522,268.78150621560854,691.3397663316583,1185.4201722842993,2824.758511,0.06281406877351586,1,1
2021-09-10 14:27:53.703000,V_Stressed,Afternoon,203.0,8.0,257.3794384236453,360.02034473718714,920.7440344827586,1515.9309702686749,2420.597572,0.03940886505375049,1,1
2021-09-10 15:49:56.613000,F_Good,Afternoon,727.0,48.0,163.57666712517195,203.1717219044701,673.9067922971115,1223.7692856819076,8445.509678,0.06602475837655078,1,0
2021-09-10 16:20:29.428000,V_Stressed,Evening,247.0,11.0,269.1921902834008,363.15030909367175,1072.0747206477733,1586.5252604821073,2046.75589,0.04453441115245299,2,1
2021-09-10 16:55:55.129000,Neutral,Evening,125.0,3.0,178.33980799999998,263.17225657219564,817.0314960000001,1400.2281888993998,3110.627619,0.023999998080000154,2,0
2021-09-10 18:42:03.300000,Neutral,Evening,1228.0,88.0,176.7750635179153,243.65852824611318,668.1670146579805,1250.9263780727779,9378.044018,0.07166123720145573,2,0
2021-09-13 11:06:29.228000,V_Stressed,Afternoon,82.0,0.0,346.80173170731706,408.94434065237556,1564.6667926829268,1973.3622346021257,802.479637,0.0,1,1
2021-09-13 11:45:28.373000,S_Stressed,Afternoon,140.0,9.0,201.16649285714286,296.10304159883106,938.4641000000001,1550.334105531734,2827.595462,0.06428570969387788,1,1
2021-09-13 12:15:38.189000,Neutral,Afternoon,23.0,3.0,330.3925652173913,499.80321161022295,1846.1600434782608,2055.9202912376,2546.721996,0.13043472589794528,1,0
2021-09-13 12:45:49.308000,V_Stressed,Afternoon,243.0,30.0,246.8110781893004,334.6821862237152,979.9137037037037,1559.4410247696235,2517.0283210000002,0.12345678504293066,1,1
2021-09-13 13:16:26.134000,V_Stressed,Afternoon,290.0,28.0,243.85785862068963,369.33413161958714,835.3590965517242,1393.3281787830535,2692.05843,0.09655172080856136,1,1
2021-09-13 13:46:44.525000,Neutral,Afternoon,327.0,23.0,223.49900917431194,320.3674939925658,777.3967400611621,1350.6609380079008,3385.335877,0.07033638928634896,1,0
2021-09-13 14:47:09.504000,V_Stressed,Afternoon,308.0,5.0,260.20280844155843,343.3339066184335,1014.5195746753246,1570.5079322999795,5142.098272,0.01623376570669592,1,1
2021-09-14 10:37:31.366000,Neutral,Morning,263.0,21.0,238.93138403041823,289.8290634035165,1040.1686577946768,1582.3581563625523,1367.213669,0.07984790570920511,0,0
2021-09-14 11:07:57.898000,Neutral,Afternoon,47.0,0.0,135.29734042553193,188.97468464968213,695.922829787234,1508.1841125211715,2910.439935,0.0,1,0
2021-09-14 11:48:10.758000,Neutral,Afternoon,1692.0,139.0,143.3480378250591,150.80223018695278,398.530853427896,814.4014339967938,2992.179407,0.08215129975087884,1,0
2021-09-14 12:18:26.145000,Neutral,Afternoon,369.0,45.0,256.12935772357724,363.1069666870652,1150.098273712737,1579.9701285340818,2228.504115,0.12195121620728412,1,0
2021-09-14 12:51:12.732000,F_Good,Afternoon,201.0,9.0,276.8169950248756,383.45129452804696,1226.5094726368159,1742.2723909121505,2846.45498,0.04477611717531755,1,0
2021-09-14 13:21:22.461000,Neutral,Afternoon,153.0,16.0,250.17104575163398,399.1904765598211,1299.2347516339871,1691.9412520499714,2586.612376,0.10457515656371526,1,0
2021-09-14 13:51:33.284000,F_Great,Afternoon,207.0,39.0,211.12927053140095,339.87704525852337,1068.5492801932367,1438.2762230049138,2518.945747,0.18840578799972038,1,0
2021-09-14 14:21:45.131000,V_Stressed,Afternoon,196.0,33.0,247.91751530612245,347.6444935867008,1643.1582142857144,1829.5290255194868,2529.347875,0.16836733834860518,1,1
2021-09-14 14:51:51.962000,S_Stressed,Afternoon,202.0,19.0,183.59800990099012,313.7331283884884,614.5227128712871,1154.9877948504,2640.641976,0.09405940128418805,1,1
2021-09-14 15:30:29.103000,F_Good,Afternoon,105.0,12.0,262.49428571428575,404.9576158801805,1256.2188666666666,1632.8463697654156,4498.943294,0.11428570340136157,1,0
2021-09-14 16:00:35.889000,F_Good,Evening,219.0,15.0,139.06768493150685,138.93177311077199,925.5945707762558,1462.9527014034275,2562.364576,0.06849314755739053,2,0
2021-09-14 16:30:44.502000,F_Good,Evening,108.0,14.0,232.2878888888889,419.09556040475803,1029.5491203703705,1526.2320402764228,2261.749885,0.12962961762688724,2,0
2021-09-14 17:00:53.394000,Neutral,Evening,81.0,6.0,178.9750987654321,300.4806071715197,1202.3954938271606,1677.5056090059888,2689.411116,0.07407406492912778,2,0
2021-09-14 17:31:03.494000,S_Stressed,Evening,870.0,78.0,146.87968965517243,180.4370574099895,455.01457586206897,870.1698409252346,2430.063743,0.08965517138327389,2,1
2021-09-14 18:01:10.587000,S_Stressed,Evening,603.0,36.0,204.77728358208955,320.9886819470127,718.1388606965174,1260.3019394937492,2513.579459,0.05970149154723895,2,1
2021-09-14 18:31:29.750000,V_Stressed,Evening,728.0,53.0,132.08616758241757,107.04623245625135,431.30409340659344,880.3919454623518,2528.908557,0.07280219680216762,2,1
2021-09-07 08:41:13.616066,F_Good,Morning,0.0,0.0,0.0,0.0,0.0,0.0,157.163756,0.0,0,0
2021-09-07 09:34:19.193612,Neutral,Morning,9.0,0.0,222.54977777777776,101.60176735886262,884.2027499999999,1676.3876719416453,5863.598733,0.0,0,0
2021-09-07 10:05:42.061682,S_Stressed,Morning,114.0,1.0,408.2316228070175,466.83417945990936,1322.8890175438596,1491.8145926623272,3079.7781609999997,0.008771929055093943,0,1
2021-09-07 10:36:17.663853,S_Stressed,Morning,58.0,0.0,448.3174482758621,493.5226759444895,1781.6738620689655,1840.10133470816,2466.207703,0.0,0,1
2021-09-07 11:06:48.765706,S_Stressed,Afternoon,208.0,7.0,348.95277403846154,511.9174388554286,1231.1857451923076,1655.4386636038582,2286.767561,0.033653844535872855,1,1
2021-09-07 11:37:11.060236,S_Stressed,Afternoon,112.0,15.0,382.4865892857143,443.4924743524237,1641.3843214285714,1769.3719833121493,1936.6246919999999,0.13392855947066432,1,1
2021-09-07 12:07:39.605662,S_Stressed,Afternoon,235.0,6.0,307.03368936170216,418.44595283248975,1225.826570212766,1679.8922542108687,2393.115968,0.025531913807152605,1,1
2021-09-07 12:53:37.398061,S_Stressed,Afternoon,319.0,46.0,310.1432884012539,437.6452206202781,1483.4428150470221,1824.2636388399364,4252.519611,0.14420062243885198,1,1
2021-09-07 13:24:12.773623,Neutral,Afternoon,88.0,0.0,317.2135568181818,465.29582318948763,1787.6412727272727,1919.7763327831967,2074.319135,0.0,1,0
2021-09-07 13:54:42.694190,Neutral,Afternoon,90.0,4.0,224.7986888888889,343.230852097124,1393.284122222222,1669.9987478091305,3642.841604,0.04444443950617338,1,0
2021-09-07 14:25:12.019950,F_Good,Afternoon,95.0,1.0,117.2009894736842,200.55611940893806,548.0204947368421,990.0386638321078,2266.7940399999998,0.010526314681440559,1,0
2021-09-07 14:55:29.231364,F_Good,Afternoon,12.0,0.0,257.6671666666667,454.235983404268,1867.53975,2319.3783178372732,3408.9870499999997,0.0,1,0
2021-09-07 15:25:46.545479,Neutral,Afternoon,161.0,8.0,448.3827639751553,578.0061266687242,1966.8790310559004,2068.3330064640413,2840.001322,0.04968943790748833,1,0
2021-09-07 18:29:56.007004,Neutral,Evening,312.0,12.0,201.81840705128207,287.4522791200365,1008.5322852564102,1438.5786289563646,20441.679894,0.03846153722879689,2,0
2021-09-07 19:00:17.001905,Neutral,Evening,28.0,1.0,218.35925,253.2709250760164,1071.6394642857142,1493.1663380319735,1818.333328,0.03571427295918823,2,0
2021-09-08 08:06:01.607957,Neutral,Morning,0.0,0.0,0.0,0.0,0.0,0.0,108.934271,0.0,0,0
2021-09-08 08:36:24.384434,S_Stressed,Morning,30.0,1.0,187.32766666666666,215.103935062089,1419.0269,1818.408594297115,4789.929031,0.033333322222225924,0,1
2021-09-08 09:06:42.507459,S_Stressed,Morning,0.0,0.0,0.0,0.0,0.0,0.0,1684.0025839999998,0.0,0,1
2021-09-08 10:19:28.574265,S_Stressed,Morning,211.0,15.0,154.2260805687204,183.04684304180083,1064.6878815165878,1490.4163961701543,7916.5533780000005,0.07109004402416853,0,1
2021-09-08 10:49:59.270260,S_Stressed,Morning,130.0,17.0,281.3351,369.8205487301266,1273.671723076923,1623.8784499466826,2099.182851,0.13076922071005995,0,1
2021-09-08 13:58:25.465245,S_Stressed,Afternoon,1945.0,194.0,277.8999331619537,395.68719325197577,1119.679132647815,1478.2161140326948,15802.83634,0.09974293007844252,1,1
2021-09-08 15:19:19.014925,Neutral,Afternoon,550.0,33.0,245.91019636363637,354.19496768832244,1061.3287745454545,1508.3991528706656,8156.907921,0.05999999890909093,1,0
2021-09-08 15:49:47.734764,S_Stressed,Afternoon,439.0,56.0,338.68400455580866,408.7965980665176,1347.055701594533,1617.9432519451582,2002.7648159999999,0.12756263946326563,1,1
2021-09-08 16:20:02.303620,S_Stressed,Evening,535.0,57.0,300.24305607476634,396.23584479480843,1180.6302542056073,1490.3431632865518,2173.0695729999998,0.1065420540833261,2,1
2021-09-08 16:50:16.224527,V_Stressed,Evening,385.0,26.0,286.10796363636365,383.3680513442033,1246.6896363636363,1597.2702812741102,2404.960576,0.06753246577837752,2,1
2021-09-09 08:50:53.248790,Neutral,Morning,38.0,9.0,319.3122368421053,298.39261364657517,2131.1646315789476,2186.4253321348515,2180.903946,0.23684204293630448,0,0
2021-09-09 09:21:04.098173,Neutral,Morning,65.0,4.0,122.64598461538462,150.2802980915467,727.7726923076923,1115.5719865822884,3766.466115,0.061538452071007374,0,0
