total_keystrokes,backspace_count,backspace_ratio,hold_time_mean,hold_time_std,flight_time_mean,flight_time_std,total_inact_duration,Daylight_Encoded,Stress_Label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.889638,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.380722000000006,1,0
1286.0,113.0,0.0878693616806426,150.02859875583204,163.97054764165023,514.3998311284047,1010.3404550764451,3908.624212,1,1
289.0,6.0,0.020761244956358307,172.81696885813147,225.5713266045453,560.7828615916956,1178.9718144872522,2773.718563,1,0
398.0,25.0,0.06281406877351586,196.47136180904522,268.78150621560854,691.3397663316583,1185.4201722842993,2824.758511,1,1
203.0,8.0,0.03940886505375049,257.3794384236453,360.02034473718714,920.7440344827586,1515.9309702686749,2420.597572,1,1
727.0,48.0,0.06602475837655078,163.57666712517195,203.1717219044701,673.9067922971115,1223.7692856819076,8445.509678,1,0
247.0,11.0,0.04453441115245299,269.1921902834008,363.15030909367175,1072.0747206477733,1586.5252604821073,2046.75589,2,1
125.0,3.0,0.023999998080000154,178.33980799999998,263.17225657219564,817.0314960000001,1400.2281888993998,3110.627619,2,0
1228.0,88.0,0.07166123720145573,176.7750635179153,243.65852824611318,668.1670146579805,1250.9263780727779,9378.044018,2,0
82.0,0.0,0.0,346.80173170731706,408.94434065237556,1564.6667926829268,1973.3622346021257,802.479637,1,1
140.0,9.0,0.06428570969387788,201.16649285714286,296.10304159883106,938.4641000000001,1550.334105531734,2827.595462,1,1
23.0,3.0,0.13043472589794528,330.3925652173913,499.80321161022295,1846.1600434782608,2055.9202912376,2546.721996,1,0
243.0,30.0,0.12345678504293066,246.8110781893004,334.6821862237152,979.9137037037037,1559.4410247696235,2517.0283210000002,1,1
290.0,28.0,0.09655172080856136,243.85785862068963,369.33413161958714,835.3590965517242,1393.3281787830535,2692.05843,1,1
327.0,23.0,0.07033638928634896,223.49900917431194,320.3674939925658,777.3967400611621,1350.6609380079008,3385.335877,1,0
308.0,5.0,0.01623376570669592,260.20280844155843,343.3339066184335,1014.5195746753246,1570.5079322999795,5142.098272,1,1
263.0,21.0,0.07984790570920511,238.93138403041823,289.8290634035165,1040.1686577946768,1582.3581563625523,1367.213669,0,0
47.0,0.0,0.0,135.29734042553193,188.97468464968213,695.922829787234,1508.1841125211715,2910.439935,1,0
1692.0,139.0,0.08215129975087884,143.3480378250591,150.80223018695278,398.530853427896,814.4014339967938,2992.179407,1,0
369.0,45.0,0.12195121620728412,256.12935772357724,363.1069666870652,1150.098273712737,1579.9701285340818,2228.504115,1,0
201.0,9.0,0.04477611717531755,276.8169950248756,383.45129452804696,1226.5094726368159,1742.2723909121505,2846.45498,1,0
153.0,16.0,0.10457515656371526,250.17104575163398,399.1904765598211,1299.2347516339871,1691.9412520499714,2586.612376,1,0
207.0,39.0,0.18840578799972038,211.12927053140095,339.87704525852337,1068.5492801932367,1438.2762230049138,2518.945747,1,0
196.0,33.0,0.16836733834860518,247.91751530612245,347.6444935867008,1643.1582142857144,1829.5290255194868,2529.347875,1,1
202.0,19.0,0.09405940128418805,183.59800990099012,313.7331283884884,614.5227128712871,1154.9877948504,2640.641976,1,1
105.0,12.0,0.11428570340136157,262.49428571428575,404.9576158801805,1256.2188666666666,1632.8463697654156,4498.943294,1,0
219.0,15.0,0.06849314755739053,139.06768493150685,138.93177311077199,925.5945707762558,1462.9527014034275,2562.364576,2,0
108.0,14.0,0.12962961762688724,232.2878888888889,419.09556040475803,1029.5491203703705,1526.2320402764228,2261.749885,2,0
81.0,6.0,0.07407406492912778,178.9750987654321,300.4806071715197,1202.3954938271606,1677.5056090059888,2689.411116,2,0
870.0,78.0,0.08965517138327389,146.87968965517243,180.4370574099895,455.01457586206897,870.1698409252346,2430.063743,2,1
603.0,36.0,0.05970149154723895,204.77728358208955,320.9886819470127,718.1388606965174,1260.3019394937492,2513.579459,2,1
728.0,53.0,0.07280219680216762,132.08616758241757,107.04623245625135,431.30409340659344,880.3919454623518,2528.908557,2,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.163756,0,0
9.0,0.0,0.0,222.54977777777776,101.60176735886262,884.2027499999999,1676.3876719416453,5863.598733,0,0
114.0,1.0,0.008771929055093943,408.2316228070175,466.83417945990936,1322.8890175438596,1491.8145926623272,3079.7781609999997,0,1
58.0,0.0,0.0,448.3174482758621,493.5226759444895,1781.6738620689655,1840.10133470816,2466.207703,0,1
208.0,7.0,0.033653844535872855,348.95277403846154,511.9174388554286,1231.1857451923076,1655.4386636038582,2286.767561,1,1
112.0,15.0,0.13392855947066432,382.4865892857143,443.4924743524237,1641.3843214285714,1769.3719833121493,1936.6246919999999,1,1
235.0,6.0,0.025531913807152605,307.03368936170216,418.44595283248975,1225.826570212766,1679.8922542108687,2393.115968,1,1
319.0,46.0,0.14420062243885198,310.1432884012539,437.6452206202781,1483.4428150470221,1824.2636388399364,4252.519611,1,1
88.0,0.0,0.0,317.2135568181818,465.29582318948763,1787.6412727272727,1919.7763327831967,2074.319135,1,0
90.0,4.0,0.04444443950617338,224.7986888888889,343.230852097124,1393.284122222222,1669.9987478091305,3642.841604,1,0
95.0,1.0,0.010526314681440559,117.2009894736842,200.55611940893806,548.0204947368421,990.0386638321078,2266.7940399999998,1,0
12.0,0.0,0.0,257.6671666666667,454.235983404268,1867.53975,2319.3783178372732,3408.9870499999997,1,0
161.0,8.0,0.04968943790748833,448.3827639751553,578.0061266687242,1966.8790310559004,2068.3330064640413,2840.001322,1,0
312.0,12.0,0.03846153722879689,201.81840705128207,287.4522791200365,1008.5322852564102,1438.5786289563646,20441.679894,2,0
28.0,1.0,0.03571427295918823,218.35925,253.2709250760164,1071.6394642857142,1493.1663380319735,1818.333328,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.934271,0,0
30.0,1.0,0.033333322222225924,187.32766666666666,215.103935062089,1419.0269,1818.408594297115,4789.929031,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0025839999998,0,1
211.0,15.0,0.07109004402416853,154.2260805687204,183.04684304180083,1064.6878815165878,1490.4163961701543,7916.5533780000005,0,1
130.0,17.0,0.13076922071005995,281.3351,369.8205487301266,1273.671723076923,1623.8784499466826,2099.182851,0,1
1945.0,194.0,0.09974293007844252,277.8999331619537,395.68719325197577,1119.679132647815,1478.2161140326948,15802.83634,1,1
550.0,33.0,0.05999999890909093,245.91019636363637,354.19496768832244,1061.3287745454545,1508.3991528706656,8156.907921,1,0
439.0,56.0,0.12756263946326563,338.68400455580866,408.7965980665176,1347.055701594533,1617.9432519451582,2002.7648159999999,1,1
535.0,57.0,0.1065420540833261,300.24305607476634,396.23584479480843,1180.6302542056073,1490.3431632865518,2173.0695729999998,2,1
385.0,26.0,0.06753246577837752,286.10796363636365,383.3680513442033,1246.6896363636363,1597.2702812741102,2404.960576,2,1
38.0,9.0,0.23684204293630448,319.3122368421053,298.39261364657517,2131.1646315789476,2186.4253321348515,2180.903946,0,0
65.0,4.0,0.061538452071007374,122.64598461538462,150.2802980915467,727.7726923076923,1115.5719865822884,3766.466115,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2159.928301,0,1
345.0,18.0,0.052173911531190977,126.03291304347827,185.08558136882993,616.9021565217391,990.4008476127665,3146.626304,0,1
108.0,6.0,0.05555555041152311,121.09466666666667,171.27110877060971,905.7846111111111,1438.8700153135344,2033.598468,0,1
143.0,9.0,0.06293705853587003,303.45004195804194,449.60638925201863,1677.057923076923,1907.6253924754906,5839.337124,1,1
120.0,14.0,0.11666665694444525,288.2474833333333,346.86467041004914,1558.3775500000002,1880.3855824949185,1469.321207,1,1
370.0,22.0,0.05945945785244709,276.8724945945946,389.85735176827654,1262.3700702702702,1580.689384009828,2629.944707,1,0
163.0,28.0,0.17177913056569752,334.3442883435583,407.42304195513054,1365.4625582822086,1671.7923078718268,6553.404912,1,1
154.0,25.0,0.16233765179625637,265.0222532467533,356.0861193775189,1179.3254025974024,1483.4397154801438,3341.153564,1,1
36.0,0.0,0.0,188.73266666666666,153.95138617647177,1507.7333888888888,1772.1469159865671,5753.92317,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.308337,1,1
41.0,0.0,0.0,295.0619024390244,397.38642058554325,1537.3271463414635,1811.0063123170437,3463.534338,2,1
3.0,0.0,0.0,790.6396666666668,504.35469626080953,3423.496333333333,2730.584448985296,729.41419,0,0
89.0,6.0,0.06741572276227834,148.4650449438202,206.96401437958139,544.7012696629214,892.013397053985,2939.1465200000002,0,0
270.0,9.0,0.03333333209876548,182.21774074074074,267.1201540538391,980.3964666666666,1482.3791864569555,8405.591151,0,0
94.0,4.0,0.042553186962426916,290.08901063829785,416.51162707013685,1527.1261489361702,1823.668912949139,2308.180028,0,1
439.0,5.0,0.011389521380648717,225.10244191343963,358.2550561575867,1308.3067243735763,1582.3520132594863,2690.098221,1,0
230.0,10.0,0.04347825897920613,231.4438,348.21184753423984,1085.126608695652,1558.1628903811072,5727.595456999999,1,0
83.0,4.0,0.04819276527798008,299.6823493975904,403.410092332623,1274.0100843373493,1673.8178977111359,3859.03932,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759.4060039999997,1,0
314.0,20.0,0.06369426548744378,228.77984713375798,356.5437998090244,1141.1058280254776,1583.3258006864398,2403.113743,1,1
185.0,4.0,0.02162162045288538,279.7844216216216,442.61145417181996,1277.9581135135134,1709.7205214390187,2216.422673,1,1
90.0,8.0,0.08888887901234677,414.89917777777777,524.0294844650962,1383.6526222222224,1747.2355463158071,3004.040001,1,1
